decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
2.83774,0.343,0.01258,17,354.868312000
1.93167,0.334,0.012203,17,343.789767000
1.89646,0.334,0.011155,17,344.030036000
1.91203,0.334,0.010002,17,343.329871000
2.86932,0.344,0.013196,17,356.167798000
2.91071,0.343,0.016769,17,355.183110000
1.96843,0.335,0.014792,17,344.408543000
2.87086,0.345,0.013039,17,356.991434000
2.87338,0.342,0.014007,17,353.313487000
2.87083,0.342,0.01224,17,352.790935000
2.83177,0.343,0.011471,17,354.343260000
2.8554,0.344,0.012516,17,356.097022000
1.92718,0.335,0.0134,17,345.066880000
2.87866,0.344,0.014115,17,355.524910000
2.87284,0.342,0.013039,17,354.000907000
2.84209,0.346,0.01607,17,357.966728000
2.88913,0.342,0.011869,17,353.950093000
1.96295,0.334,0.011032,17,343.892585000
1.94412,0.335,0.008882,17,343.916546000
2.8249,0.342,0.012949,17,353.906234000
2.8693,0.342,0.012052,17,352.473299000
1.9379,0.334,0.010844,17,343.896608000
2.86266,0.343,0.012272,17,355.096145000
2.86523,0.344,0.011455,17,355.835010000
2.87278,0.343,0.012789,17,354.257954000
1.94694,0.335,0.011214,17,344.229818000
2.84088,0.343,0.013827,17,355.099567000
1.91833,0.335,0.011288,17,344.240283000
2.86097,0.342,0.013164,17,353.122335000
2.80768,0.343,0.011433,17,354.194128000
2.84998,0.343,0.011461,17,354.247445000
2.8774,0.344,0.012804,17,355.240258000
1.94956,0.336,0.01049,17,345.720152000
2.82157,0.343,0.012475,17,355.503603000
1.94174,0.335,0.010417,17,344.212852000
2.8495,0.342,0.011822,17,353.248730000
2.83429,0.343,0.011691,17,353.321892000
2.8601,0.342,0.01098,17,352.655974000
2.83157,0.342,0.013384,17,352.709233000
2.8823,0.343,0.012158,17,355.230457000
2.87979,0.344,0.01257,17,356.100787000
1.95053,0.334,0.011021,17,343.974318000
2.83846,0.342,0.014439,17,353.108013000
2.878,0.343,0.012228,17,354.564645000
2.85644,0.343,0.012991,17,354.335125000
1.91399,0.334,0.010086,17,343.456070000
2.83849,0.343,0.011209,17,354.473889000
1.93889,0.336,0.0112,17,345.524603000
2.85446,0.345,0.018443,17,356.909343000
2.86206,0.343,0.011827,17,354.661934000
