decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
3.906,0.143,0.017,13,1107.776431000
3.915,0.142,0.017,13,1100.510429000
4.04,0.143,0.029,13,1098.966566000
2.087,0.076,0.008,13,823.972147000
2.111,0.076,0.007,13,873.346057000
3.844,0.142,0.018,13,1086.813520000
2.113,0.076,0.007,13,652.674619000
3.967,0.142,0.02,13,1100.881983000
3.926,0.142,0.018,13,1080.298834000
2.372,0.076,0.007,13,658.063058000
3.878,0.142,0.018,13,1081.320497000
3.906,0.143,0.018,13,1095.982387000
2.077,0.08,0.009,13,664.365966000
3.862,0.142,0.016,13,1082.913773000
3.907,0.142,0.018,13,1092.118280000
3.809,0.142,0.015,13,1091.046589000
3.862,0.142,0.016,13,1085.820645000
3.904,0.142,0.017,13,1101.849480000
3.858,0.142,0.016,13,1088.932130000
3.878,0.143,0.019,13,1109.843924000
3.871,0.142,0.019,13,1091.921734000
3.872,0.142,0.018,13,1101.822481000
3.836,0.142,0.015,13,1085.843999000
3.978,0.142,0.018,13,1108.367919000
3.947,0.142,0.019,13,1101.345950000
3.834,0.142,0.015,13,1098.006001000
3.869,0.142,0.016,13,1085.680664000
3.839,0.142,0.016,13,1089.105230000
3.872,0.142,0.017,13,1089.088986000
4.006,0.142,0.019,13,1106.942143000
2.091,0.077,0.008,13,884.662207000
3.836,0.142,0.016,13,1083.034721000
3.834,0.142,0.017,13,1074.797251000
3.892,0.142,0.018,13,1084.941349000
3.887,0.142,0.015,13,1089.281862000
3.95,0.143,0.02,13,1104.534068000
3.829,0.142,0.015,13,1092.561715000
3.943,0.142,0.018,13,1092.948840000
3.86,0.143,0.019,13,1091.201467000
3.862,0.142,0.015,13,1090.432866000
2.089,0.079,0.007,13,678.717800000
3.877,0.142,0.019,13,1092.400574000
3.899,0.143,0.017,13,1098.192349000
2.073,0.076,0.008,13,638.078651000
2.099,0.076,0.008,13,654.601686000
2.109,0.076,0.009,13,631.033428000
3.942,0.142,0.019,13,1102.738222000
2.098,0.079,0.008,13,793.162618000
2.121,0.076,0.008,13,628.645657000
2.085,0.076,0.008,13,637.143092000
